category,text
personal,Ever year before valentines day I would get all giddy and imagine having a boyfriend but now I'm so hopeless I can't even imagine what it would be like. Can't believe I'm 19 and have never dated ANYONE! Considering in attractive inside and ou
lgbtq,I wish I had a boyfriend (Im a guy)
misc,"To all the dumbass guys on here, this isn't a dating site. Go back to going on kik please and thankyou"
meetup,Anyone want to talk? Bored and wouldn't mind a venting session M/20
misc,"Ladies, if you want a man that's loyal give him a reason to stay. Men are the easiest people to please but if you don't give him what he wants he's gonna go get it to someone who will"
personal,"I am a 23 year old female I would like amazon gift cards, I will do what I have to in order to pay you back, but I will not go first ""PERIOD"" (ME IN PIC ) SERIOUS INQUIRIES ONLY PLEASE"
personal,Self pity is pathetic
family,I need Vicks rub. I can't breathe. HELP. Mommy is sick. 
meetup,24 male here! Any ladies want to talk????? Reno Carson sparks area?
misc,Just i kidding you
meetup,Ladies over 25: I'm giving out ratings that actually matter. Let's see how good you are at holding a (clean) conversation.
misc,I've watched so many crime shows that I'm pretty sure I could kill someone and get away with it..... Well time to stop watching crime shows
misc,Guys with braces. cx
relationships,I visited my boyfriend for a week. We either had sex or did sexual things EVERY single night.
personal,It's sad that I feel so old.
misc,Leafs game!
relationships,I like having crushes but I don't wanna get into a relationship.
relationships,I'm gonna pretend I wasn't your plan B for the sake of my happiness
meetup,16 m Pm me girls
meetup,Any nice females around melbourne want to hang out today 23 australian male
personal,People think I'm weird cause I honestly love everyone no matter what. I just want everyone to be happy.
misc,#stopdaddy2015
meetup,"Any ps4 owners with aw, hmu with usernames"
meetup,Any man or woman want to provide a night of entertainment for a fine man of our country's military? It was a long day.... Message me if you do. You wont regret it.
meetup,"M Here, Im bored, and want to drink,just wondering to invite a totally stranger to join me"
misc,"Can we just get over the fact that 50% of posts are going to be reposts? Like is it necessary to comment ""repost""? Who gives a Damn?"
misc,trying to hide a hickey be like: (person) what's with your hair all on one side? (me) uhm its a new style? don't judge me!(runs away)
qna,Am I the only person who really doesn't care about Valentine's Day?
lgbtq,I think I'm gay...
lgbtq,Send me a message to meet up (lesbian/Bi only) near Woodhall Spa :*
relationships,I am so close to my soulmate but I can't see him yet...this is killing me 
school,College makes you cherish the little things Like that one assignment that could've raised your C to a B
misc,Love
school,"For some reason I really love this scene, I keep watching the video on repeat to see it. Not good when you have coursework...."
meetup,Any single girls here? M in Peterborough
misc,Girls with naturally curly hair
misc,"Every time I whisper, guys blow my phone up. I've never hooked up and I'm not going to start off here."
relationships,"They say the first love is the hardest to get over, but how am I supposed to stay strong when I still have to be civil with him because we have a child together?"
pop_culture,Flyleaf
family,There was a girl out side and she was selling water for the homeless kids and my mom lid and did not get the water I was so mad at my mom that day. I'm still mad that was bad to do her like that
qna,What's your career and how much are you making A year?? Trying to figure out what to do next with my life lol
relationships,"It's the perfect love, just wrong timing"
lgbtq,Need a gay guy best friend! Im a girl fyi
meetup,anyone clean snapchat lol
school,"I hate all the people in my choir class, but love singing so much, I refuse to drop the class."
sports,Go Bulldogs! Beat Tennessee tonight!
meetup,Send me a msg if interested to get to know me
personal,Literally fuck everything right now
sports,I wear my Seahawks jersey when I take tests because I know I'll pass when I shouldn't.
misc,I want to cuddle too -.-
misc,COMICON
personal,Can I get a heart for never doing drugs ever and never smoking so much as a cigarette? Doesn't make sense druggies get to say they quit and the world bends for them.
pop_culture,Excited to see lewis black tonight. Being an adult and buying things for yourself like show tickets is pretty awesome.
relationships,I hate my ex...I hate that I kissed the monster couple days ago! I hope you rot in hell asshole
meetup,Where the hot girls at just show pics plz
pop_culture,Music washes away from the soul the dust of everyday life. (an old quote I found)
school,I think I've probably slept in my own dorm on the weekend probably less than 10 times all year
meetup,Any girls have kik or snap chat
misc,I Wish I Had Friends Who Would Actually Hangout With Me
relationships,I know you dream of her when you sleep with me
meetup,I want an American Indian chick! Please find me!
meetup,31 m any ladies want to chat?
lgbtq,"Mocha Cabana LGBT Coffee Night Sunday Feb, 8th 6o'clock PM I hope I see you there.."
misc,Js 
meetup,Any girls want to make out? M 23
relationships,I don't think I'm gonna be able to drink all this beer before my wife gets back... I'm gonna have to throw some away :(
personal,"I don't want to goto the gym, I look in the mirror and I'm ready to go twice! Guess where I'm going lol"
personal,"Maybe I don't have the best body, but my soul is amazing"
meetup,work sucks. And ill be all alone if any one would like to converse and keep me company (male here)
meetup,I want a friend who will hang out with me all the time and we go do stuff together....
personal,People make fun of me because ive never seen a girl naked 
misc,Where are you?
fashion,I feel so different with my new haircut.. (This is me)
food,"Fellow Men, I have found the password to open a woman's legs: I have food."
lgbtq,Any gay/bi guys want to chat with a 22 year old curious male?
qna,Do anyone believe in love anymore?
personal,A doctor or police officer gets my attention everytime. Wish that one was single and was interested in me.
misc,Sometimes you just want people to shut the fuck up for an hour or two
lgbtq,17/f bi Just want someone to talk to. And hold me and kiss me Bored message me
meetup,Any ladies out there want to be my Valentine this year
lgbtq,"Comment on this if you're gay, bi, les, trans, pan, other. <3 if you don't think it matters"
personal,"Boy I have no life right now... Just Me,Myself,and I"
personal,Im to nerdy for must normal girls
meetup,"Let's hang out, drink and have some other fun stuff."
family,"Did I mention that my sister came along, and told me afterwards I was flirting with the guy expect I'm not we just get really cuddly together when we get drunk together. He's like my little bro"
personal,Every one is serching for love But I'm here to give u love bcaz My future girl will find me (Love formula)
meetup,Any ladies want their bodies rated clean or not ? 23 yr old male
meetup,I'm finna talk to some ladies hmu
misc,I dream of one day being in space......
misc,Got this pic for my name...lol wtf
personal,Kinda wanna go out tonight and just have funn. Nothing sexual. I've already gotten some today and twice last night haha. Just wanna drink and maybe do some drugs. Lol Columbus area ppl
personal,"So this one time, I walked into a stop sign while on a first date.... Almost scalped myself...."
meetup,Can any girl cheer me up ? I'm really low
meetup,any girl in bainbridge island looking to hangout?? i m 25M
misc,
qna,I'm 14 but already want to find a guy get married settle down and have a baby and start my life. Is it bad I want this?
relationships,My bf of 4yrs has been w many women sexually (in the past). I'm a virgin and I've always been afraid that I won't be able to please him... We're waiting till after we get married...
relationships,I have a boyfriend but I'm still in love with my ex
meetup,Any females in Boston wanna chill this week? My ships pulling in that day I could use someone to hang out with 19m
personal,I'm so bored I haven't been out of the house since Thursday
misc,"If you feel the need to publicly claim yourself as intelligent, strong, independent, or any of that shit, you should know that you're actually a fucking idiot who is probably not liked by many people."
relationships,I like a girl named Jeselle IDK if it's mutual Don't want to risk budding friendship
misc,Pain is only temporary but victory is forever -anonymous-
qna,Hmm nap or pick up xanax... Thoughts?
personal,I want to fucking hug someone.
personal,"Most guys are just a bunch of horndogs, like they don't know when to stop. I've gotten like 4 guys try to hit on me cuz of the 7day Whisper challenge. I'd prefer girls cuz they're not boring and repetitive."
pop_culture,So Harrison ford crashed his plane. Must've been flying solo.
misc,Well it is coming into spring time
personal,I know some Spanish and can fit some sentences together. My ability to speak Spanish increases rapidly when I'm angry.
meetup,Any women want to take it in the ass?
personal,I just want to get home and chill in my bed!!! Watch the shows I have in my DVR make a coffee and chill!!! Am I asking for too much??!!
work,That awkward moment when i have to wipe a patients face and I'm scared I'm going to wipe off her eyebrows.
meetup,Ladies two good looking country boys going to electric cowboys tonight who wants to come with?
qna,Why do older guys like teenaged girls?
personal,i just told my boyfriend i am pregnant
meetup,"Tell me something about your life, I want to escape from mine"
personal,I have not had a serious reliationship for 3 year :(
meetup,Any ladies wanna be my drinkin/cuddle buddy tonight...
meetup,Looking for a chat with a 30 something male.
meetup,Any 18+ female want to trade pics???
qna,girls have to get Even more plastic every single day why can't they just wear a lil make up not a shovel full
meetup,Any ladies wanna chat??
food,Can't wait till I have my own house and have pizza for breakfast
misc,18 f bi
relationships,Debating on whether he should be my first kiss or not
relationships,Why do you flirt with me and hold my hand but start talking about how you still have feelings for your ex. Stop giving me mix signals. I already have feelings for you :(
meetup,I want a girl that crossdresses like me
personal,If only you knew how much I love you
meetup,Single 16m any girls want to chat I am bored
misc,So there's no girls out here that are good at beer pong lol good to know.
meetup,Home alone. Bored and need company. 19 male xenia ohio
fashion,I never really wear heals but when I do I walk like a model bc I'm amazing like that haha
meetup,Any cute girls wanna talk? 17 m Winnipeg
pop_culture,The guy I date has to be able to handle my obsession with one direction ... I'm 18 lmao
personal,White guys that like black girls. We appreciate you.
personal,Saw my crush today ☺️.
qna,Who needs a tribute?
family,Being a single parent is hard.but I love my son
meetup,bisexual guys wanna talk to a 21 f? :3
personal,"One more video I said, it'll be the the last one I said."
meetup,Ladies lets start a random conversation
personal,"I love being a woman, until I get PMS and want to throw things, cry, and eat candy all at the same time. I end up feeling like a crazy person."
school,girls boarding school = no boys. ever
animals,"Just realized, I'm very much like a dog. I lounge around, I eat when given food, I like most people, I love to have my head rubbed, and I like cuddling as much as sex. Damn it"
pop_culture,Pokemon. That sums up my life.
family,Im using being a single parent as an excuse not to date.
meetup,Bored anyone wanna talk??
meetup,So any local females gonna treat me to a decent conversation :)
pop_culture,Morgue is just so hot
misc,Baby fever:/
meetup,Guys from Hendersonville NC wanna talk? 18F
food,I love when I'm baking and my house starts to slowly start smell like my creation.
personal,"I recently hooked up with my friend, now I'm regretting it "
personal,I hate working with my friend and I'm trying to get her fired since she won't quit.
meetup,"Alright, who had dinner at Montana's in London tonight? You took a selfie of your nose... Who for?"
personal,All I want is the taste that your lips allow
relationships,I've been married for 4 years. People keep asking about babies. I'm sterile.
personal,Sucks to be sad for no reason.
personal,This.. This made me so happy ❤
misc,I know it's wrong to want to smack someone else's kid but omg if this kid doesn't get out of my face I might bitch slap him.
meetup,Need $200. Single mother . I am in need of immediate help. Please only serious people. I have a 6 month old and can pay u back.
personal,Its My 17th Birthday
personal,I'm socially awkward and it sucks
school,Who going to six flags school dance today?
qna,Need a good place to get skates
misc,My birthday is on February 12 and Valentine's Day is on the 14 and it's like omg I'm going to be 20 yrs old like Hell Yeah no more beening a teenager lol
personal,I hate putting my hair up. I don't want anyone to look at me.
qna,Still looking for that perfect experience. Anyone else?
meetup,Can I get rated by a female??
meetup,Someone come scoop me and lets go eat. Im starving! 21f
qna,If you could have any power in the world what would it be
tatoos,Body modifications make the world go round
personal,"I became disable at 23 yrs old, I had a life before my injury and I have a life now, yet all people see is handicap"
personal,Wishing that guys actually liked plus sized girls so I wouldn't be afraid of being alone
animals,I'm getting another puppy! It's a Beaglier and my dogs half sister 
personal,the thought of becoming a parent scares me
tatoos,I miss my piercings :(
meetup,"Bored, anyone want too chat? Preferably clean! Fyi I'm a guy."
meetup,Single guy on Wilson and clark ladies let me know if your interested.
personal,I am so torn right now.my biggest fear came true and have no one to talk to about it.Should have seen it coming.I will never trust anyone ever again.
lgbtq,M 18 Looking for my first gay experience
relationships,"I have a new boyfriend, we've been together for over 3 months, were already talking about sex, I can see myself marrying him."
misc,Denny's chick is hot but not my server 
meetup,Boys send me shirtless pics for rates
relationships,When he makes you feel like your not wanted and you have no way to leave!
relationships,I like a boy but he doesn't know because I am scared he won't like me back
personal,ASL <--- never thought I would ever hate abbreviations but no... Whisper u just changed me
meetup,"Men over 6ft, want to get a drink?"
misc,"Pizza is on its way, Xbox controllers are charged booze is chilled!"
personal,I'm so pretty no I'm so ugly lmfao 
personal,That awkward moment when you realize you've been silent for an hour because the topic between everyone has been sex and relationships and you have literally nothing to say about either..
meetup,"Got the apartment to myself, anyone want to come over? M/19"
misc,That moment when you're a straight girl but have the hotts for a lesbian
personal,"I'm tired of people saying I'm too young to feel a certain way etc. My age has nothing to fucking do with it, what I've been through does. Age is nothing but a number."
animals,I want a baby pit bull
lgbtq,Im scared if imma turn out as a lesbo no offence im not against it but i have had sex with 2 girls well kissed at least but thats all i honestly did im scared how do i forget about it? Help me
misc,.
misc,Some people on here could be really mean
misc,It's always the D.E.N.N.I.S. system.
personal,"Shoutout to the hot guy that was staring me down to whom I finally said ""Hi"" and he replied """
meetup,Who all are from NEIU...??? I am a neiu student M/24
pop_culture,If matty b rap is a minor I'm a minor
misc,Looking at old pictures and realizing how much things have changed..
misc,Well....image sums Whisper up well
misc,Boring Friday for me :/
meetup,"I kind of really want a significant other. Someone who's open to a ftm and ok with me having a daughter. Preferably, between 18 and 25."
school,So excited for the Winter Formal tonight!!!
meetup,Netflix anyone?
misc,Why is it the more you want something the more barriers get thrown in your way 
personal,I wanna be in love. Female 22
relationships,"I hate how my man cannot keep track of time, like he's so terrible it really pisses me off, he cannot manage"
misc,Growing up I will always the fat kid. Now I'm 18 and I stopped growing entirely. Now all the kids who called me names are fat.
meetup,Any girl have kik snap chat or Skype
personal,I'm happy with the prospect that I may be the only person with my name in the world.
misc,"It's funny how cutting up your own body doesn't hurt, it rather feels good, actually. But walking through prickle bushes is something I think we all dread"
meetup,Any girls wanta play with a 30 something male
misc,Cards against humanity soon! My night is better than yours ;)
misc,For some reason I find some girls that wear hijabs to b attractive
personal,I want to start waist training.
meetup,Who's looking for some fun tonight?
lgbtq,Lesbian or bi GIRLS Hit me up :) 19/f/USA
personal,I can be surrounded by a sea of people and still feel all alone in the world....then I think of him
personal,Ugh I want him so bad
misc,"I NEED SOME WEED! LOUD OR REGGIE, DOESNT MATTER "
qna,Anybody got any tips for speeding up downloads on X box one?
misc,"""You are a terribly real thing in a terribly false world, and that, I believe is why you're in so much pain."""
qna,Guys I need advice ASAP!!!!!
meetup,Hey im an open minded male 18 just hmu ;)
qna,what is currently stressing you out?
pop_culture,To brighten everyone's day here's a pic I Jensen Ackles!
family,Oh my god that cashier at 5 Below was so gorgeous... So my mom decided to start singing this throw back song from when she was a teenager that was playing 
relationships,I let my husband physically and emotionally abuse me all the time and always end up feeling like its my fault
misc,I always imagine myself in tragedies so that people would feel bad about me and actually give a damn
fashion,I feel more feminine in flats than heels
meetup,Any ladies over 35 wanna chat 29 male
family,This is my third father- daughter dance. So excited. Its a masquerade!
qna,How did you meet your best friend....? I met mine by talking about our chihuahuas.
lgbtq,I wish I would have started transitioning from male to female 10 years ago
meetup,im bored. ask me anything. 20 f
misc,16 f Los Angelo's
meetup,Looking for female friends
personal,"I don't know why, but whenever I get a match on Tinder, I feel like some kind of celebrity"
relationships,"I miss my ex boyfriend. He was just so mean sometimes. I guess I don't miss him, I miss the good memories."
work,"As an IT guy, everytime I get a computer that I have to work on a bit, I always look through the person's music and if I like it I make a copy for me."
meetup,21 F anyone wanna chat?
pop_culture,Anime Is my life
meetup,Any ladies care to chat with a married guy?
misc,Woop Woop
meetup,I need girls to snapchat hmu man
meetup,22m looking for a sexy young lady who wants a man. Cold lake/bville area
personal,"Usually your closest ""friends"" then put to be some of your biggest enemies✌✌ glad I figured it out"
misc,Its funny when you have a conversation in Spanish and other people that don't speak it are like what !!?!
food,I dont care if im single as long as i have nutella.
misc,"Mary Mary, quite contrary."
food,"That awkward moment you have a hot waiter and when he checks on your table, you have food falling out of your mouth."
qna,Has the Internet and social media spawned a sexual revolution? I feel like girls in their 20's are more sexually expressive than those in their late 30s or 40s
lgbtq,F/les Ladies pick a number 1-10
pop_culture,I kinda want to see 50 shades of grey but I'm to young so is it a good movie?
personal,My eyes are always blacked out in photos and in the mirror... Everyone says I have normal eyes though.
personal,"I don't regret my past,I regret the time I wasted with the wrong people."
family,I love my brother
meetup,Anybody on here going to spring weekend? Let me know.
personal,"The problem with dating is it's a never-ending game of ""Who Cares Less"" in an effort to look cool to the person you're secretly crazy about."
misc,BOREGORE
meetup,Any military males?
meetup,Any blonde girls like tall guys❓m 16
meetup,Kik 
personal,Some French girl wanted to add me on Facebook to have babies. Damned catfish! Fucking hate those!!
meetup,Hotel party tonight 21 and over. Females and couples only.
personal,The truth I just walk out in to the road between cars is because I don't care if I live or die anymore :( the pain is too much...
meetup,Want to meet people/make friends with people in area. My mentality is warped from prior problems trusting people. This sucks. I don't feel normal but want to.
personal,I've been numb for so long now I can't even remember what emotions feels like.
animals,I'm way better at learning and REMEMBERING a dog's name oppose to all the people I meet through out the day..
meetup,21m bored message me
work,I wanna fuck my new co worker. We both are married..
personal,"I don't cut on my arms, only my legs and the top half of my body because if I did my parents would ground Me again..."
misc,"My favorite quote ""Life is meaningless"""
meetup,Anyone want to Skype??:) F19 I'm not skinny btw
personal,Social gatherings for me be like: KILL ME NOW
family,I am adopted >.<
personal,We all end up The same .... Dead
food,I eat pears and stuff like that
qna,Is selena gomez hot?
qna,Anyone know how to get a chinchilla out from under the couch??
meetup,Lesbians inbox me Auckland only please (: me in pic
misc,That sky thoo
relationships,So confused. And men say women are difficult...
misc,There is some sick twisted ass people in this world who raised you people
personal,spontaneous love is my favorite
misc,Truth
personal,My ass to big
personal,Rather pretend nothing's wrong than open up to you
family,"I want to fast forward to a time when I'm married, have kids, and a good job."
personal,"Sometimes I feel worthless, but I turn the radio to K-love and then realize that I was wonderfully made! & I can be somebody."
personal,I love hipster guys. Too bad they don't like fat chicks.
misc,"I give more chances than I should but when I'm done, I'm done! I dont do what if's!!"
personal,I just want bikini season to come but I gotta work my ass off to have a nice butt for my bikini
personal,I dont have anyone here to help me
personal,I have bulimia...
pop_culture,I miss the old teen titans
personal,"I think this valentines day I will romance myself, slow music, candle lit bath. I don't need to wait for your forgotten gestures or false promises."
meetup,"Sitting in the best western in Nicollet, bored af!! What's up everybody?"
family,God I hate seeing my godmothers husband when he comes into the store Such a scumbag Cheater
meetup,Englishman up for a chat with anyone about anything
relationships,I love my fiancé so much. She and her family mean the world to me.
lgbtq,Bro tip #1 Bros who date bros are still bros
personal,"It's sad when I invite you to go somewhere you have an excuse why you can't. But when others invite you to do the same thing, you can go."
personal,"No Amazon I do not want to tell all of FB that I just bought a 9"" 'super fat' dildo. Thank you anyway."
relationships,I dont like bratty kids.. Two are coming tonight.. Its hard to keep my attitude with them in line. But I'll do it for my wife!
military,"I'm a very happy go lucky guy who loves life, I just wish women could see past my ""marine"" side, I'm a goofball at heart :("
pop_culture,you know you live in the ghetto when you don't got a GameStop near you
misc,Leg hanging out of the bed? Mine now...
animals,I fart and blame it on the dog
meetup,Any guys want to hangout ;)
misc,Be you. Be proud.
meetup,Add me on snapchat Cassyjay1994
lgbtq,Anyone wanna trade pics? You first 18f lesbian
personal,rocking the red today :) pretty n love the single life.
personal,Ladies in heels turn me onnn...19m
meetup,I'm a older guy looking for younger female 18+
qna,Does Sierra Mist have citrus in it
personal,Home alone. Depressed. Feel like such a loser... 25/F
meetup,I just moved here and I need to make some female friends. 27/f
personal,Litterally feel like i'm only a waste of space on this earth. I feel like nothing.
meetup,Who wants to rate my breasts? Me in pic
family,"When I get in trouble, my mom threatens to put me into an all girls school.... I'm a closeted lesbian... Bring it on."
work,I hate my job but I'm too afraid to quit
food,"I love eating at chipotle. They make me feel important, because I get to eat on a silver platter."
personal,"Sometimes I feel like my Best Friend only acknowledges my presence when she's got a problem. I feel kind of used, but 15 years of friendship isn't something I want to let go of."
personal,I wish I could fine a girl that's doesn't mind being open about the sexual things
misc,Hi I'm luna
meetup,"Ian from interquest theater 14 in Colorado Springs, colorado if you see this you're gorgeous"
personal,If your too ugly to put your own pic then just quit talking to people bcuz no one likes a catfish.
personal,You know depression is hard so you should think before you judge the cuts on my arm think about what i go through you cant can you? As i said dont jude until you have been through what I've been thru
qna,Who here has their SAG card?
misc,I'm gonna die from boredom. . . . F/22
personal,I don't want to be lonely tonight 20/f
relationships,"""It's complicated"" doesn't even BEGIN to describe my situation"
personal,I'm going to therapy tomorrow for the first time in 4 years. I'm absolutely terrified.
personal,I have cellulite I have stretch marks.... I had a baby... im not sorry im not 'perfect' Most ppl have all that... Get over it.. its not a big deal.
meetup,Anybody want to chat ? F17(:
personal,Today has been a good day
misc,We all are overrated
personal,Happy birthday to my best friend! Your present is a picture of us where I look really good
qna,What's a gimp
personal,I wish you could understand how the things you say to me make me feel....
qna,What does the GO Station have to smell so bad.
qna,Who do you think would be a really a good fight?
personal,I have a massive headache
personal,There has not been one day since the year started that I have not cried. Wish I was stronger to deal with all of this b.s
personal,Plans just got canceled... Ugh I need to go out... I need to get drunk off my ass... This is my first free weekend in 2 months
misc,I still have a whole hour before he gets here
personal,"I texted my guy friend saying I was getting in the shower. He asked if he could see ? I sent him a picture of an eye chart and told him if he could read the whole thing, he can see just fine"
pop_culture,ѕσ mє
military,"My father, 6 older brother, and twin brother were/are all in the military. I'm insanely attracted to military men. But I could never have a relationship with one."
qna,Can i text you this?
meetup,"Do any girls on campus want to cuddle, watch movies, and drink? I have alcohol. I live on campus. DM me."
misc,"@sweatinghoney Stop posting nasty selfies because you feel lonely. No one fucking cares. Sincerely, Everyone on whisper that lives in fairbanks."
meetup,So who's up for a chat? M 24 Torbay!
personal,He said he needed time to reflect.... It's been over a day and I'm going to crack:( I know it hasn't been long but it's hard to wait in anticipation.
meetup,I need someone special in my life! M seeking F in Letchworth
sports,"Im in the middle of going to school to be an athletic trainer, if you are injured or just want a new work out routine please pm me! I really love helping others stay in shape and I really want to practice"
relationships,In love with the girl in college don't know her name don't know which year she's in don't know what's her major the only thing I know she's is beautiful 
lgbtq,Why do I feel like Sydney's Mardi Gra parade is really only marketed to gay men who want to dress in fancy costume? I don't see how the lesbians can benefit from this parade besides maybe finding another lesbian...
meetup,FaceTime anyone? Bored af
personal,I'm single because *I already have food *People are confusing as fuck *Im never good enough *Every person I like doesn't like me back
misc,"He says I'm a ""tease"" and I ”turn him on"" then he turns around and says I'm his unbiological sis like WTF!"
qna,Is cheating in style???
personal,"Sometimes when I miss people, I read through our old texts. It makes me happy, yet at the same time very sad"
personal,I've lost my closest friend and that hurts so much...I loved him so much and now...I feel so alone...
school,Started my first day of my new school today. Everyone thought I was shy but the truth is... I forgot To brush my teeth
relationships,SAME! 
qna,How am I supposed to take it slow when I can hear his heartbeat in his hugs?
meetup,Show me ur meat 22 bi
misc,21m
personal,"I feel like I'm boring, I see people out partying and all I do is go to work, pay bills, and watch Netflix"
relationships,My girl friend tells me he never loved me and it was all bullshit!But for some reason I do believe there were feelings there.I do believe that he loved me.
animals,I just killed my fish by suffocating it on accident :'( I am so sad now!
personal,Being a sexualy frustrated virgin sucks
personal,Me
personal,"Once I've embarrassed myself in a social situation, I tend to cut off those involved."
meetup,Any ladies want a rate send me a pic
misc,I love bigger woman
personal,"I have my bf, 4 pets, and a job. Cuz ya know who the hell needs a social life. I don't want friends, just wish family weren't so different. And that I could leave my house for reasons other than work."
meetup,"Pm me a selfie and I'll honestly rate you :""D I'm a female btw"
misc,.
meetup,Can't stand another night alone...any pretty girls out there ?
misc,"Nooooo, I was talking to a cute girl and I accidentally blocked her!!! And I can't undo it!!! "
personal,I need more friends to hang out with! I'm literally watching swamp people because I have no friends! (Female 14)
personal,I feel like my anger turns me into a monster
misc,Them loyal friends that will drop anything for you =}
family,If my mom had 4+ of us. I wouldn't be able to call her my mom... I wouldn't feel like she is my mom.
qna,At what time do you start ovulating
pop_culture,Phil Collins is an amazing singer solo and in Genesis
relationships,^Relationship goals right here... mister you are doing it right!
meetup,I can cook: -Lasagna ($~30) -Pork chops ($~5) -Spaghetti ($~8) -Cinnamon rolls ($~8) PM for recipes.
personal,"I hate dentists. Honestly, I call them the dentists of doom."
pop_culture,I need a man like Finn Collins a.k.a Thomas McDonell ♡
meetup,Any cute black chick's on here? M16
personal,Wish the people I care about can hang out
meetup,Anyone want to talk 17/F
meetup,looking for a female house mate. I live in the country. cheap rent. cheap bills. you must be 18 or older. I'm 21 m. apply within
misc,Love squats! The work is paying off!
personal,i cut myself for after 138 days clean... fml
misc,What a shit feeling
misc,IM SO BORED.............. 19M
personal,I just don't want to be alone anymore
meetup,What is there to do For fun in Billings?
meetup,Who's on seeking arrangement
meetup,"21 f. Guys, make me happy. "
work,Tbh I want to be a teacher but I also want to actually make money. I'm stuck.
personal,I want to know what it's like to be held by someone...
relationships,I wanna ask my girlfriend to video Skype but I'm too nervous
family,Apparently I'm a smart ass son of a bitch. Thanks dad
misc,NO!
lgbtq,Is is odd the only thing I'm looking forward to in university/college is Bi-curious guys?
misc,To all the people who complain about being a virgin stfu no one cares but you
