movie_id,old_title,title,clean_title,poster_info,imdb_url,poster_url
11,Seven (Se7en) (1995),Se7en,se7en,"(11, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTU3MTE4NF5BMl5BanBnXkFtZTcwOTgxNDM2Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Se7en%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTU3MTE4NF5BMl5BanBnXkFtZTcwOTgxNDM2Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg"
12,"Usual Suspects, The (1995)",The Usual Suspects,the usual suspects,"(12, 'manual')",http://www.imdb.com/title/tt0114814/,manual
13,Mighty Aphrodite (1995),Mighty Aphrodite,mighty aphrodite,"(13, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMzE3Nzg5Ml5BMl5BanBnXkFtZTcwNTIxNDEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMzE3Nzg5Ml5BMl5BanBnXkFtZTcwNTIxNDEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
14,"Postino, Il (1994)",Il Postino,il postino,"(14, 'manual')",http://www.imdb.com/title/tt0110877/,manual
15,Mr. Holland's Opus (1995),Mr. Holland's Opus,mr. holland's opus,"(15, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxODUxOTk2M15BMl5BanBnXkFtZTcwODk2NDYxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxODUxOTk2M15BMl5BanBnXkFtZTcwODk2NDYxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
16,French Twist (Gazon maudit) (1995),French Twist,french twist,"(16, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NjczMTU1OF5BMl5BanBnXkFtZTcwOTAzNTQyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NjczMTU1OF5BMl5BanBnXkFtZTcwOTAzNTQyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
17,From Dusk Till Dawn (1996),From Dusk Till Dawn,from dusk till dawn,"(17, 'https://images-na.ssl-images-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
18,"White Balloon, The (1995)",The White Balloon,the white balloon,"(18, 'manual')",http://www.imdb.com/title/tt0112445/,manual
19,Antonia's Line (1995),Antonia's Line,antonia's line,"(19, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Antonia%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNjkwOTQ5NV5BMl5BanBnXkFtZTcwNjc3ODAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
20,Angels and Insects (1995),Angels and Insects,angels and insects,"(20, 'https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
21,Muppet Treasure Island (1996),Muppet Treasure Island,muppet treasure island,"(21, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NDU1MDYxMl5BMl5BanBnXkFtZTcwNjgyMTEzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NDU1MDYxMl5BMl5BanBnXkFtZTcwNjgyMTEzMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
22,Braveheart (1995),Braveheart,braveheart,"(22, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNTMyNGE1ODQtYTNiNS00ZTUyLThhZjktMTgyOGZkZThlYTc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Braveheart%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNTMyNGE1ODQtYTNiNS00ZTUyLThhZjktMTgyOGZkZThlYTc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
23,Taxi Driver (1976),Taxi Driver,taxi driver,"(23, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNGQxNDgzZWQtZTNjNi00M2RkLWExZmEtNmE1NjEyZDEwMzA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),"https://images-na.ssl-images-amazon.com/images/M/MV5BNGQxNDgzZWQtZTNjNi00M2RkLWExZmEtNmE1NjEyZDEwMzA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
24,Rumble in the Bronx (1995),Rumble in the Bronx,rumble in the bronx,"(24, 'manual')",http://www.imdb.com/title/tt0113326/,manual
25,"Birdcage, The (1996)",The Birdcage,the birdcage,"(25, 'manual')",http://www.imdb.com/title/tt0115685/,manual
26,"Brothers McMullen, The (1995)",The Brothers McMullen,the brothers mcmullen,"(26, 'manual')",http://www.imdb.com/title/tt0112585/,manual
27,Bad Boys (1995),Bad Boys,bad boys,"(27, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NDk1NTU5NF5BMl5BanBnXkFtZTcwMjE2NDU2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NDk1NTU5NF5BMl5BanBnXkFtZTcwMjE2NDU2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
28,Apollo 13 (1995),Apollo 13,apollo 13,"(28, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMmIyM2Y2NTQtZWM4ZC00YjFjLWFhMjgtNzNkOTQ0OGZlMTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMmIyM2Y2NTQtZWM4ZC00YjFjLWFhMjgtNzNkOTQ0OGZlMTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
29,Batman Forever (1995),Batman Forever,batman forever,"(29, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
30,Belle de jour (1967),Belle de jour,belle de jour,"(30, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMjhjYWVjZWItZmE3OS00ZTNmLWJhYTktZGM1YWZiNDgxNTU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR4,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjhjYWVjZWItZmE3OS00ZTNmLWJhYTktZGM1YWZiNDgxNTU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR4,0,182,268_AL_.jpg"
31,Crimson Tide (1995),Crimson Tide,crimson tide,"(31, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMmFkY2IxNTAtMWRiNS00MWU2LWI1NDYtY2YxYTQyYTk5OTBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
32,Crumb (1994),Crumb,crumb,"(32, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MzcxODgwMl5BMl5BanBnXkFtZTcwMjU1NzE1Mw@@._V1_UY268_CR3,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Crumb%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MzcxODgwMl5BMl5BanBnXkFtZTcwMjU1NzE1Mw@@._V1_UY268_CR3,0,182,268_AL_.jpg"
33,Desperado (1995),Desperado,desperado,"(33, 'https://images-na.ssl-images-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Desperado%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BYjA0NDMyYTgtMDgxOC00NGE0LWJkOTQtNDRjMjEzZmU0ZTQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
34,"Doom Generation, The (1995)",The Doom Generation,the doom generation,"(34, 'manual')",http://www.imdb.com/title/tt0112887/,manual
35,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,free willy 2: the adventure home,"(35, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMjgyNTc4Mzk4OV5BMl5BanBnXkFtZTcwMDgwMDQyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjgyNTc4Mzk4OV5BMl5BanBnXkFtZTcwMDgwMDQyMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
36,Mad Love (1995),Mad Love,mad love,"(36, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNDE0NTQ1NjQzM15BMl5BanBnXkFtZTYwNDI4MDU5._V1_UY268_CR4,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BNDE0NTQ1NjQzM15BMl5BanBnXkFtZTYwNDI4MDU5._V1_UY268_CR4,0,182,268_AL_.jpg"
37,Nadja (1994),Nadja,nadja,"(37, 'no link available')",http://www.imdb.com/title/tt0110620/,no link available
38,"Net, The (1995)",The Net,the net,"(38, 'manual')",http://www.imdb.com/title/tt0113957/,manual
39,Strange Days (1995),Strange Days,strange days,"(39, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NTQ0NzgtODUzYy00NThlLWFhNDEtNjhkY2M0M2EwY2ZmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ2NTQ0NzgtODUzYy00NThlLWFhNDEtNjhkY2M0M2EwY2ZmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar","to wong foo, thanks for everything! julie newmar","(40, 'manual')",http://www.imdb.com/title/tt0114682/,manual
41,Billy Madison (1995),Billy Madison,billy madison,"(41, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNDg1NjUxN15BMl5BanBnXkFtZTgwOTg0NzQxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNDg1NjUxN15BMl5BanBnXkFtZTgwOTg0NzQxMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
42,Clerks (1994),Clerks,clerks,"(42, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Clerks%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
43,Disclosure (1994),Disclosure,disclosure,"(43, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTU3NTY1OF5BMl5BanBnXkFtZTcwMjQ3OTYxMQ@@._V1_UY268_CR9,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Disclosure%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTU3NTY1OF5BMl5BanBnXkFtZTcwMjQ3OTYxMQ@@._V1_UY268_CR9,0,182,268_AL_.jpg"
44,Dolores Claiborne (1994),Dolores Claiborne,dolores claiborne,"(44, 'manual')",http://www.imdb.com/title/tt0109642/,manual
45,Eat Drink Man Woman (1994),Eat Drink Man Woman,eat drink man woman,"(45, 'manual')",http://www.imdb.com/title/tt0111797/,manual
46,Exotica (1994),Exotica,exotica,"(46, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Exotica%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMGIxN2NiMDYtYjQ0YS00M2ViLTkzYTUtNDdhYWZmOTM0ZmJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR0,0,182,268_AL_.jpg"
47,Ed Wood (1994),Ed Wood,ed wood,"(47, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
48,Hoop Dreams (1994),Hoop Dreams,hoop dreams,"(48, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODE0MjQzOF5BMl5BanBnXkFtZTcwNDUzNjgyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODE0MjQzOF5BMl5BanBnXkFtZTcwNDUzNjgyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
49,I.Q. (1994),I.Q.,i.q.,"(49, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTc2ODg3NV5BMl5BanBnXkFtZTcwNjEyNTUxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?I.Q.%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMTc2ODg3NV5BMl5BanBnXkFtZTcwNjEyNTUxMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
50,Star Wars (1977),Star Wars,star wars,"(50, 'https://images-na.ssl-images-amazon.com/images/M/MV5BOTIyMDY2NGQtOGJjNi00OTk4LWFhMDgtYmE3M2NiYzM0YTVmXkEyXkFqcGdeQXVyNTU1NTcwOTk@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),"https://images-na.ssl-images-amazon.com/images/M/MV5BOTIyMDY2NGQtOGJjNi00OTk4LWFhMDgtYmE3M2NiYzM0YTVmXkEyXkFqcGdeQXVyNTU1NTcwOTk@._V1_UX182_CR0,0,182,268_AL_.jpg"
51,Legends of the Fall (1994),Legends of the Fall,legends of the fall,"(51, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
52,"Madness of King George, The (1994)",The Madness of King George,the madness of king george,"(52, 'manual')",http://www.imdb.com/title/tt0110428/,manual
53,Natural Born Killers (1994),Natural Born Killers,natural born killers,"(53, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
54,Outbreak (1995),Outbreak,outbreak,"(54, 'https://images-na.ssl-images-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Outbreak%20(1995),"https://images-na.ssl-images-amazon.com/images/M/MV5BZTg1Mzk1NjAtNGFlOS00NzdlLWI0NTgtYzlmNTUzZGQ0NjYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
55,"Professional, The (1994)",The Professional,the professional,"(55, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMzg4MDkwNF5BMl5BanBnXkFtZTcwODAwNDg3OA@@._V1_UY268_CR3,0,182,268_AL_.jpg')",http://us.imdb.com/Title?L%E9on+(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMzg4MDkwNF5BMl5BanBnXkFtZTcwODAwNDg3OA@@._V1_UY268_CR3,0,182,268_AL_.jpg"
56,Pulp Fiction (1994),Pulp Fiction,pulp fiction,"(56, 'https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@._V1_UX182_CR0,0,182,268_AL_.jpg"
57,Priest (1994),Priest,priest,"(57, 'https://images-na.ssl-images-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Priest%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BYzAyYzQ0ODQtNzNhMi00NWVkLTk1YTItODE4Y2U4YmE0NDgzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
58,Quiz Show (1994),Quiz Show,quiz show,"(58, 'https://images-na.ssl-images-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg')",http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),"https://images-na.ssl-images-amazon.com/images/M/MV5BNTYxNjdjMzUtYzAyNC00NWJhLWFlM2EtNWM4NDBhZmQ1YjJiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg"
59,Three Colors: Red (1994),Three Colors: Red,three colors: red,"(59, 'manual')",http://www.imdb.com/title/tt0111495/,manual
60,Three Colors: Blue (1993),Three Colors: Blue,three colors: blue,"(60, 'manual')",http://www.imdb.com/title/tt0108394/,manual
61,Three Colors: White (1994),Three Colors: White,three colors: white,"(61, 'manual')",http://www.imdb.com/title/tt0111507/,manual
