movie_id,old_title,title
92,True Romance (1993),True Romance
93,Welcome to the Dollhouse (1995),Welcome to the Dollhouse
94,Home Alone (1990),Home Alone
95,Aladdin (1992),Aladdin
96,Terminator 2: Judgment Day (1991),Terminator 2: Judgment Day
97,Dances with Wolves (1990),Dances with Wolves
98,"Silence of the Lambs, The (1991)",The Silence of the Lambs
99,Snow White and the Seven Dwarfs (1937),Snow White and the Seven Dwarfs
100,Fargo (1996),Fargo
101,Heavy Metal (1981),Heavy Metal
102,"Aristocats, The (1970)",The Aristocats
103,All Dogs Go to Heaven 2 (1996),All Dogs Go to Heaven 2
104,Theodore Rex (1995),Theodore Rex
105,Sgt. Bilko (1996),Sgt. Bilko
106,Diabolique (1996),Diabolique
107,Moll Flanders (1996),Moll Flanders
108,Kids in the Hall: Brain Candy (1996),Kids in the Hall: Brain Candy
109,Mystery Science Theater 3000: The Movie (1996),Mystery Science Theater 3000: The Movie
110,Operation Dumbo Drop (1995),Operation Dumbo Drop
111,"Truth About Cats & Dogs, The (1996)",The Truth About Cats & Dogs
112,Flipper (1996),Flipper
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",The Horseman on the Roof
114,Wallace & Gromit: The Best of Aardman Animation (1996),Wallace & Gromit: The Best of Aardman Animation
115,"Haunted World of Edward D. Wood Jr., The (1995)",The Haunted World of Edward D. Wood Jr.
116,Cold Comfort Farm (1995),Cold Comfort Farm
117,"Rock, The (1996)",The Rock
118,Twister (1996),Twister
119,Maya Lin: A Strong Clear Vision (1994),Maya Lin: A Strong Clear Vision
120,Striptease (1996),Striptease
121,Independence Day (ID4) (1996),Independence Day
122,"Cable Guy, The (1996)",The Cable Guy
123,"Frighteners, The (1996)",The Frighteners
124,Lone Star (1996),Lone Star
125,Phenomenon (1996),Phenomenon
126,"Spitfire Grill, The (1996)",The Spitfire Grill
127,"Godfather, The (1972)",The Godfather
128,Supercop (1992),Supercop
129,Bound (1996),Bound
130,Kansas City (1996),Kansas City
131,Breakfast at Tiffany's (1961),Breakfast at Tiffany's
132,"Wizard of Oz, The (1939)",The Wizard of Oz
133,Gone with the Wind (1939),Gone with the Wind
134,Citizen Kane (1941),Citizen Kane
135,2001: A Space Odyssey (1968),2001: A Space Odyssey
136,Mr. Smith Goes to Washington (1939),Mr. Smith Goes to Washington
137,Big Night (1996),Big Night
138,D3: The Mighty Ducks (1996),D3: The Mighty Ducks
139,"Love Bug, The (1969)",The Love Bug
140,Homeward Bound: The Incredible Journey (1993),Homeward Bound: The Incredible Journey
141,"20,000 Leagues Under the Sea (1954)","20,000 Leagues Under the Sea"
142,Bedknobs and Broomsticks (1971),Bedknobs and Broomsticks
143,"Sound of Music, The (1965)",The Sound of Music
144,Die Hard (1988),Die Hard
145,"Lawnmower Man, The (1992)",The Lawnmower Man
146,Unhook the Stars (1996),Unhook the Stars
147,"Long Kiss Goodnight, The (1996)",The Long Kiss Goodnight
148,"Ghost and the Darkness, The (1996)",The Ghost and the Darkness
149,Jude (1996),Jude
150,Swingers (1996),Swingers
151,Willy Wonka and the Chocolate Factory (1971),Willy Wonka and the Chocolate Factory
152,Sleeper (1973),Sleeper
153,"Fish Called Wanda, A (1988)",A Fish Called Wanda
154,Monty Python's Life of Brian (1979),Monty Python's Life of Brian
155,Dirty Dancing (1987),Dirty Dancing
156,Reservoir Dogs (1992),Reservoir Dogs
157,Platoon (1986),Platoon
158,Weekend at Bernie's (1989),Weekend at Bernie's
159,Basic Instinct (1992),Basic Instinct
160,Glengarry Glen Ross (1992),Glengarry Glen Ross
161,Top Gun (1986),Top Gun
162,On Golden Pond (1981),On Golden Pond
163,"Return of the Pink Panther, The (1974)",The Return of the Pink Panther
164,"Abyss, The (1989)",The Abyss
165,Jean de Florette (1986),Jean de Florette
166,Manon of the Spring (Manon des sources) (1986),Manon of the Spring
167,Private Benjamin (1980),Private Benjamin
168,Monty Python and the Holy Grail (1974),Monty Python and the Holy Grail
169,"Wrong Trousers, The (1993)",The Wrong Trousers
170,Cinema Paradiso (1988),Cinema Paradiso
171,Delicatessen (1991),Delicatessen
172,"Empire Strikes Back, The (1980)",The Empire Strikes Back
173,"Princess Bride, The (1987)",The Princess Bride
174,Raiders of the Lost Ark (1981),Raiders of the Lost Ark
175,Brazil (1985),Brazil
176,Aliens (1986),Aliens
177,"Good, The Bad and The Ugly, The (1966)","The Good, The Bad and The Ugly"
178,12 Angry Men (1957),12 Angry Men
179,"Clockwork Orange, A (1971)",A Clockwork Orange
180,Apocalypse Now (1979),Apocalypse Now
181,Return of the Jedi (1983),Return of the Jedi
182,GoodFellas (1990),GoodFellas
183,Alien (1979),Alien
184,Army of Darkness (1993),Army of Darkness
185,Psycho (1960),Psycho
186,"Blues Brothers, The (1980)",The Blues Brothers
187,"Godfather: Part II, The (1974)",The Godfather: Part II
188,Full Metal Jacket (1987),Full Metal Jacket
189,"Grand Day Out, A (1992)",A Grand Day Out
190,Henry V (1989),Henry V
191,Amadeus (1984),Amadeus
192,Raging Bull (1980),Raging Bull
193,"Right Stuff, The (1983)",The Right Stuff
194,"Sting, The (1973)",The Sting
195,"Terminator, The (1984)",The Terminator
196,Dead Poets Society (1989),Dead Poets Society
197,"Graduate, The (1967)",The Graduate
198,Nikita (La Femme Nikita) (1990),Nikita
199,"Bridge on the River Kwai, The (1957)",The Bridge on the River Kwai
200,"Shining, The (1980)",The Shining
201,Evil Dead II (1987),Evil Dead II
202,Groundhog Day (1993),Groundhog Day
203,Unforgiven (1992),Unforgiven
204,Back to the Future (1985),Back to the Future
205,Patton (1970),Patton
206,Akira (1988),Akira
207,Cyrano de Bergerac (1990),Cyrano de Bergerac
208,Young Frankenstein (1974),Young Frankenstein
209,This Is Spinal Tap (1984),This Is Spinal Tap
210,Indiana Jones and the Last Crusade (1989),Indiana Jones and the Last Crusade
211,M*A*S*H (1970),M*A*S*H
212,"Unbearable Lightness of Being, The (1988)",The Unbearable Lightness of Being
213,"Room with a View, A (1986)",A Room with a View
214,Pink Floyd - The Wall (1982),Pink Floyd - The Wall
215,Field of Dreams (1989),Field of Dreams
216,When Harry Met Sally... (1989),When Harry Met Sally
217,Bram Stoker's Dracula (1992),Bram Stoker's Dracula
218,Cape Fear (1991),Cape Fear
219,"Nightmare on Elm Street, A (1984)",A Nightmare on Elm Street
220,"Mirror Has Two Faces, The (1996)",The Mirror Has Two Faces
221,Breaking the Waves (1996),Breaking the Waves
222,Star Trek: First Contact (1996),Star Trek: First Contact
223,Sling Blade (1996),Sling Blade
224,Ridicule (1996),Ridicule
225,101 Dalmatians (1996),101 Dalmatians
226,Die Hard 2 (1990),Die Hard 2
227,Star Trek VI: The Undiscovered Country (1991),Star Trek VI: The Undiscovered Country
228,Star Trek: The Wrath of Khan (1982),Star Trek: The Wrath of Khan
229,Star Trek III: The Search for Spock (1984),Star Trek III: The Search for Spock
230,Star Trek IV: The Voyage Home (1986),Star Trek IV: The Voyage Home
231,Batman Returns (1992),Batman Returns
232,Young Guns (1988),Young Guns
233,Under Siege (1992),Under Siege
234,Jaws (1975),Jaws
235,Mars Attacks! (1996),Mars Attacks!
236,Citizen Ruth (1996),Citizen Ruth
237,Jerry Maguire (1996),Jerry Maguire
238,Raising Arizona (1987),Raising Arizona
239,Sneakers (1992),Sneakers
240,Beavis and Butt-head Do America (1996),Beavis and Butt-head Do America
241,"Last of the Mohicans, The (1992)",The Last of the Mohicans
242,Kolya (1996),Kolya
243,Jungle2Jungle (1997),Jungle2Jungle
244,Smilla's Sense of Snow (1997),Smilla's Sense of Snow
245,"Devil's Own, The (1997)",The Devil's Own
246,Chasing Amy (1997),Chasing Amy
247,Turbo: A Power Rangers Movie (1997),Turbo: A Power Rangers Movie
248,Grosse Pointe Blank (1997),Grosse Pointe Blank
249,Austin Powers: International Man of Mystery (1997),Austin Powers: International Man of Mystery
250,"Fifth Element, The (1997)",The Fifth Element
251,Shall We Dance? (1996),Shall We Dance?
252,"Lost World: Jurassic Park, The (1997)",TheLost World: Jurassic Park
253,"Pillow Book, The (1995)",The Pillow Book
254,Batman & Robin (1997),Batman & Robin
255,My Best Friend's Wedding (1997),My Best Friend's Wedding
256,When the Cats Away (Chacun cherche son chat) (1996),When the Cats Away
257,Men in Black (1997),Men in Black
258,Contact (1997),Contact
259,George of the Jungle (1997),George of the Jungle
260,Event Horizon (1997),Event Horizon
261,Air Bud (1997),Air Bud
262,In the Company of Men (1997),In the Company of Men
263,Steel (1997),Steel
264,Mimic (1997),Mimic
265,"Hunt for Red October, The (1990)",The Hunt for Red October
266,Kull the Conqueror (1997),Kull the Conqueror
267,unknown,NA
268,Chasing Amy (1997),Chasing Amy
269,"Full Monty, The (1997)",The Full Monty
270,Gattaca (1997),Gattaca
271,Starship Troopers (1997),Starship Troopers
272,Good Will Hunting (1997),Good Will Hunting
273,Heat (1995),Heat
274,Sabrina (1995),Sabrina
275,Sense and Sensibility (1995),Sense and Sensibility
276,Leaving Las Vegas (1995),Leaving Las Vegas
277,Restoration (1995),Restoration
278,Bed of Roses (1996),Bed of Roses
279,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored
280,Up Close and Personal (1996),Up Close and Personal
281,"River Wild, The (1994)",The River Wild
282,"Time to Kill, A (1996)",A Time to Kill
283,Emma (1996),Emma
284,Tin Cup (1996),Tin Cup
285,Secrets & Lies (1996),Secrets & Lies
286,"English Patient, The (1996)",The English Patient
287,Marvin's Room (1996),Marvin's Room
288,Scream (1996),Scream
289,Evita (1996),Evita
290,Fierce Creatures (1997),Fierce Creatures
291,Absolute Power (1997),Absolute Power
292,Rosewood (1997),Rosewood
293,Donnie Brasco (1997),Donnie Brasco
294,Liar Liar (1997),Liar Liar
295,Breakdown (1997),Breakdown
296,"Promesse, La (1996)",La Promesse
297,Ulee's Gold (1997),Ulee's Gold
298,Face/Off (1997),Face/Off
299,Hoodlum (1997),Hoodlum
300,Air Force One (1997),Air Force One
301,In & Out (1997),In & Out
302,L.A. Confidential (1997),L.A. Confidential
303,Ulee's Gold (1997),Ulee's Gold
304,Fly Away Home (1996),Fly Away Home
305,"Ice Storm, The (1997)",The Ice Storm
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Mrs. Brown
307,"Devil's Advocate, The (1997)",The Devil's Advocate
308,FairyTale: A True Story (1997),FairyTale: A True Story
309,Deceiver (1997),Deceiver
310,"Rainmaker, The (1997)",The Rainmaker
311,"Wings of the Dove, The (1997)",The Wings of the Dove
312,Midnight in the Garden of Good and Evil (1997),Midnight in the Garden of Good and Evil
313,Titanic (1997),Titanic
314,3 Ninjas: High Noon At Mega Mountain (1998),3 Ninjas: High Noon At Mega Mountain
315,Apt Pupil (1998),Apt Pupil
316,As Good As It Gets (1997),As Good As It Gets
317,In the Name of the Father (1993),In the Name of the Father
318,Schindler's List (1993),Schindler's List
319,Everyone Says I Love You (1996),Everyone Says I Love You
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),Paradise Lost: The Child Murders at Robin Hood Hills
321,Mother (1996),Mother
322,Murder at 1600 (1997),Murder at 1600
323,Dante's Peak (1997),Dante's Peak
324,Lost Highway (1997),Lost Highway
325,Crash (1996),Crash
326,G.I. Jane (1997),G.I. Jane
327,Cop Land (1997),Cop Land
328,Conspiracy Theory (1997),Conspiracy Theory
329,Desperate Measures (1998),Desperate Measures
330,187 (1997),187
331,"Edge, The (1997)",The Edge
332,Kiss the Girls (1997),Kiss the Girls
333,"Game, The (1997)",The Game
334,U Turn (1997),U Turn
335,How to Be a Player (1997),How to Be a Player
336,Playing God (1997),Playing God
337,"House of Yes, The (1997)",The House of Yes
338,Bean (1997),Bean
339,Mad City (1997),Mad City
340,Boogie Nights (1997),Boogie Nights
341,Critical Care (1997),Critical Care
342,"Man Who Knew Too Little, The (1997)",The Man Who Knew Too Little
343,Alien: Resurrection (1997),Alien: Resurrection
344,"Apostle, The (1997)",The Apostle
345,Deconstructing Harry (1997),Deconstructing Harry
346,Jackie Brown (1997),Jackie Brown
347,Wag the Dog (1997),Wag the Dog
348,Desperate Measures (1998),Desperate Measures
349,Hard Rain (1998),Hard Rain
350,Fallen (1998),Fallen
351,"Prophecy II, The (1998)",The Prophecy II
352,Spice World (1997),Spice World
353,Deep Rising (1998),Deep Rising
354,"Wedding Singer, The (1998)",The Wedding Singer
355,Sphere (1998),Sphere
356,"Client, The (1994)",The Client
357,One Flew Over the Cuckoo's Nest (1975),One Flew Over the Cuckoo's Nest
358,Spawn (1997),Spawn
359,"Assignment, The (1997)",The Assignment
360,Wonderland (1997),Wonderland
361,Incognito (1997),Incognito
362,Blues Brothers 2000 (1998),Blues Brothers 2000
363,Sudden Death (1995),Sudden Death
364,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls
365,Powder (1995),Powder
366,Dangerous Minds (1995),Dangerous Minds
367,Clueless (1995),Clueless
368,Bio-Dome (1996),Bio-Dome
369,Black Sheep (1996),Black Sheep
370,Mary Reilly (1996),Mary Reilly
371,"Bridges of Madison County, The (1995)",The Bridges of Madison County
372,Jeffrey (1995),Jeffrey
373,Judge Dredd (1995),Judge Dredd
374,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie
375,Showgirls (1995),Showgirls
376,Houseguest (1994),Houseguest
377,Heavyweights (1994),Heavyweights
378,Miracle on 34th Street (1994),Miracle on 34th Street
379,Tales From the Crypt Presents: Demon Knight (1995),Tales From the Crypt Presents: Demon Knight
380,Star Trek: Generations (1994),Star Trek: Generations
381,Muriel's Wedding (1994),Muriel's Wedding
382,"Adventures of Priscilla, Queen of the Desert, The (1994)","The Adventures of Priscilla, Queen of the Desert"
383,"Flintstones, The (1994)",The Flintstones
384,Naked Gun 33 1/3: The Final Insult (1994),Naked Gun 33 1/3: The Final Insult
385,True Lies (1994),True Lies
386,Addams Family Values (1993),Addams Family Values
387,"Age of Innocence, The (1993)",The Age of Innocence
388,Beverly Hills Cop III (1994),Beverly Hills Cop III
389,Black Beauty (1994),Black Beauty
390,Fear of a Black Hat (1993),Fear of a Black Hat
391,Last Action Hero (1993),Last Action Hero
392,"Man Without a Face, The (1993)",The Man Without a Face
393,Mrs. Doubtfire (1993),Mrs. Doubtfire
394,Radioland Murders (1994),Radioland Murders
395,Robin Hood: Men in Tights (1993),Robin Hood: Men in Tights
396,Serial Mom (1994),Serial Mom
397,Striking Distance (1993),Striking Distance
398,Super Mario Bros. (1993),Super Mario Bros.
399,"Three Musketeers, The (1993)",The Three Musketeers
400,"Little Rascals, The (1994)",The Little Rascals
401,"Brady Bunch Movie, The (1995)",The Brady Bunch Movie
402,Ghost (1990),Ghost
403,Batman (1989),Batman
404,Pinocchio (1940),Pinocchio
405,Mission: Impossible (1996),Mission: Impossible
406,Thinner (1996),Thinner
407,Spy Hard (1996),Spy Hard
408,"Close Shave, A (1995)",A Close Shave
409,Jack (1996),Jack
410,Kingpin (1996),Kingpin
411,"Nutty Professor, The (1996)",The Nutty Professor
412,"Very Brady Sequel, A (1996)",A Very Brady Sequel
413,Tales from the Crypt Presents: Bordello of Blood (1996),Tales from the Crypt Presents: Bordello of Blood
414,My Favorite Year (1982),My Favorite Year
415,"Apple Dumpling Gang, The (1975)",The Apple Dumpling Gang
416,Old Yeller (1957),Old Yeller
417,"Parent Trap, The (1961)",The Parent Trap
418,Cinderella (1950),Cinderella
419,Mary Poppins (1964),Mary Poppins
420,Alice in Wonderland (1951),Alice in Wonderland
421,William Shakespeare's Romeo and Juliet (1996),William Shakespeare's Romeo and Juliet
422,Aladdin and the King of Thieves (1996),Aladdin and the King of Thieves
423,E.T. the Extra-Terrestrial (1982),E.T. the Extra-Terrestrial
424,Children of the Corn: The Gathering (1996),Children of the Corn: The Gathering
425,Bob Roberts (1992),Bob Roberts
426,"Transformers: The Movie, The (1986)",The Transformers: The Movie
427,To Kill a Mockingbird (1962),To Kill a Mockingbird
428,Harold and Maude (1971),Harold and Maude
429,"Day the Earth Stood Still, The (1951)",The Day the Earth Stood Still
430,Duck Soup (1933),Duck Soup
431,Highlander (1986),Highlander
432,Fantasia (1940),Fantasia
433,Heathers (1989),Heathers
434,Forbidden Planet (1956),Forbidden Planet
435,Butch Cassidy and the Sundance Kid (1969),Butch Cassidy and the Sundance Kid
436,"American Werewolf in London, An (1981)",An American Werewolf in London
437,Amityville 1992: It's About Time (1992),Amityville 1992: It's About Time
438,Amityville 3-D (1983),Amityville 3-D
439,Amityville: A New Generation (1993),Amityville: A New Generation
440,Amityville II: The Possession (1982),Amityville II: The Possession
441,"Amityville Horror, The (1979)",The Amityville Horror
442,"Amityville Curse, The (1990)",The Amityville Curse
443,"Birds, The (1963)",The Birds
444,"Blob, The (1958)",The Blob
445,"Body Snatcher, The (1945)",The Body Snatcher
446,Burnt Offerings (1976),Burnt Offerings
447,Carrie (1976),Carrie
448,"Omen, The (1976)",The Omen
449,Star Trek: The Motion Picture (1979),Star Trek: The Motion Picture
450,Star Trek V: The Final Frontier (1989),Star Trek V: The Final Frontier
451,Grease (1978),Grease
452,Jaws 2 (1978),Jaws 2
453,Jaws 3-D (1983),Jaws 3-D
454,Bastard Out of Carolina (1996),Bastard Out of Carolina
455,Jackie Chan's First Strike (1996),Jackie Chan's First Strike
456,Beverly Hills Ninja (1997),Beverly Hills Ninja
457,Free Willy 3: The Rescue (1997),Free Willy 3: The Rescue
458,Nixon (1995),Nixon
459,"Cry, the Beloved Country (1995)","Cry, the Beloved Country"
460,"Crossing Guard, The (1995)",The Crossing Guard
461,Smoke (1995),Smoke
462,Like Water For Chocolate (Como agua para chocolate) (1992),Like Water For Chocolate
463,"Secret of Roan Inish, The (1994)",The Secret of Roan Inish
464,Vanya on 42nd Street (1994),Vanya on 42nd Street
465,"Jungle Book, The (1994)",The Jungle Book
466,Red Rock West (1992),Red Rock West
467,"Bronx Tale, A (1993)",A Bronx Tale
468,Rudy (1993),Rudy
469,Short Cuts (1993),Short Cuts
470,Tombstone (1993),Tombstone
471,Courage Under Fire (1996),Courage Under Fire
472,Dragonheart (1996),Dragonheart
473,James and the Giant Peach (1996),James and the Giant Peach
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
475,Trainspotting (1996),Trainspotting
476,"First Wives Club, The (1996)",The First Wives Club
477,Matilda (1996),Matilda
478,"Philadelphia Story, The (1940)",The Philadelphia Story
479,Vertigo (1958),Vertigo
480,North by Northwest (1959),North by Northwest
481,"Apartment, The (1960)",The Apartment
482,Some Like It Hot (1959),Some Like It Hot
483,Casablanca (1942),Casablanca
484,"Maltese Falcon, The (1941)",The Maltese Falcon
485,My Fair Lady (1964),My Fair Lady
486,Sabrina (1954),Sabrina
487,Roman Holiday (1953),Roman Holiday
488,Sunset Blvd. (1950),Sunset Blvd.
489,Notorious (1946),Notorious
490,To Catch a Thief (1955),To Catch a Thief
491,"Adventures of Robin Hood, The (1938)",The Adventures of Robin Hood
492,East of Eden (1955),East of Eden
493,"Thin Man, The (1934)",The Thin Man
494,His Girl Friday (1940),His Girl Friday
495,Around the World in 80 Days (1956),Around the World in 80 Days
496,It's a Wonderful Life (1946),It's a Wonderful Life
497,Bringing Up Baby (1938),Bringing Up Baby
498,"African Queen, The (1951)",The African Queen
499,Cat on a Hot Tin Roof (1958),Cat on a Hot Tin Roof
500,Fly Away Home (1996),Fly Away Home
501,Dumbo (1941),Dumbo
502,Bananas (1971),Bananas
503,"Candidate, The (1972)",The Candidate
504,Bonnie and Clyde (1967),Bonnie and Clyde
505,Dial M for Murder (1954),Dial M for Murder
506,Rebel Without a Cause (1955),Rebel Without a Cause
507,"Streetcar Named Desire, A (1951)",A Streetcar Named Desire
508,"People vs. Larry Flynt, The (1996)",The People vs. Larry Flynt
509,My Left Foot (1989),My Left Foot
510,"Magnificent Seven, The (1954)",The Magnificent Seven
511,Lawrence of Arabia (1962),Lawrence of Arabia
512,Wings of Desire (1987),Wings of Desire
513,"Third Man, The (1949)",The Third Man
514,Annie Hall (1977),Annie Hall
515,"Boot, Das (1981)","Boot, Das"
516,Local Hero (1983),Local Hero
517,Manhattan (1979),Manhattan
518,Miller's Crossing (1990),Miller's Crossing
519,"Treasure of the Sierra Madre, The (1948)",The Treasure of the Sierra Madre
520,"Great Escape, The (1963)",The Great Escape
521,"Deer Hunter, The (1978)",The Deer Hunter
522,Down by Law (1986),Down by Law
523,Cool Hand Luke (1967),Cool Hand Luke
524,"Great Dictator, The (1940)",The Great Dictator
525,"Big Sleep, The (1946)",The Big Sleep
526,Ben-Hur (1959),Ben-Hur
527,Gandhi (1982),Gandhi
528,"Killing Fields, The (1984)",The Killing Fields
529,My Life as a Dog (Mitt liv som hund) (1985),My Life as a Dog
530,"Man Who Would Be King, The (1975)",The Man Who Would Be King
531,Shine (1996),Shine
532,Kama Sutra: A Tale of Love (1996),Kama Sutra: A Tale of Love
533,"Daytrippers, The (1996)",The Daytrippers
534,Traveller (1997),Traveller
535,Addicted to Love (1997),Addicted to Love
536,Ponette (1996),Ponette
537,My Own Private Idaho (1991),My Own Private Idaho
538,Anastasia (1997),Anastasia
539,Mouse Hunt (1997),Mouse Hunt
540,Money Train (1995),Money Train
541,Mortal Kombat (1995),Mortal Kombat
542,Pocahontas (1995),Pocahontas
543,"Mis_rables, Les (1995)",Les Misrables
544,Things to Do in Denver when You're Dead (1995),Things to Do in Denver when You're Dead
545,Vampire in Brooklyn (1995),Vampire in Brooklyn
546,Broken Arrow (1996),Broken Arrow
547,"Young Poisoner's Handbook, The (1995)",The Young Poisoner's Handbook
548,"NeverEnding Story III, The (1994)",The NeverEnding Story III
549,Rob Roy (1995),Rob Roy
550,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance
551,Lord of Illusions (1995),Lord of Illusions
552,Species (1995),Species
553,"Walk in the Clouds, A (1995)",A Walk in the Clouds
554,Waterworld (1995),Waterworld
555,White Man's Burden (1995),White Man's Burden
556,Wild Bill (1995),Wild Bill
557,Farinelli: il castrato (1994),Farinelli: il castrato
558,Heavenly Creatures (1994),Heavenly Creatures
559,Interview with the Vampire (1994),Interview with the Vampire
560,"Kid in King Arthur's Court, A (1995)",A Kid in King Arthur's Court
561,Mary Shelley's Frankenstein (1994),Mary Shelley's Frankenstein
562,"Quick and the Dead, The (1995)",The Quick and the Dead
563,Stephen King's The Langoliers (1995),Stephen King's The Langoliers
564,Tales from the Hood (1995),Tales from the Hood
565,Village of the Damned (1995),Village of the Damned
566,Clear and Present Danger (1994),Clear and Present Danger
567,Wes Craven's New Nightmare (1994),Wes Craven's New Nightmare
568,Speed (1994),Speed
569,Wolf (1994),Wolf
570,Wyatt Earp (1994),Wyatt Earp
571,Another Stakeout (1993),Another Stakeout
572,Blown Away (1994),Blown Away
573,Body Snatchers (1993),Body Snatchers
574,Boxing Helena (1993),Boxing Helena
575,City Slickers II: The Legend of Curly's Gold (1994),City Slickers II: The Legend of Curly's Gold
576,Cliffhanger (1993),Cliffhanger
577,Coneheads (1993),Coneheads
578,Demolition Man (1993),Demolition Man
579,Fatal Instinct (1993),Fatal Instinct
580,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","The Englishman Who Went Up a Hill, But Came Down a Mountain"
581,Kalifornia (1993),Kalifornia
582,"Piano, The (1993)",The Piano
583,Romeo Is Bleeding (1993),Romeo Is Bleeding
584,"Secret Garden, The (1993)",The Secret Garden
585,Son in Law (1993),Son in Law
586,Terminal Velocity (1994),Terminal Velocity
587,"Hour of the Pig, The (1993)",The Hour of the Pig
588,Beauty and the Beast (1991),Beauty and the Beast
589,"Wild Bunch, The (1969)",The Wild Bunch
590,Hellraiser: Bloodline (1996),Hellraiser: Bloodline
591,Primal Fear (1996),Primal Fear
